200;0;0.02;0.33;0.66;0;0;;Spalte;Daten;
225;0.01;0.025;0.325;0.65;0;0;;A;T / °C;Gao 2012, CO2 methanation stoichiometric, 1 atm
250;0.02;0.035;0.325;0.645;0;0;;B;x_CO2;Gao 2012, CO2 methanation stoichiometric, 1 atm
275;0.02;0.05;0.32;0.63;0;0;;C;x_H2;Gao 2012, CO2 methanation stoichiometric, 1 atm
300;0.02;0.07;0.31;0.615;0;0;;D;x_CH4;Gao 2012, CO2 methanation stoichiometric, 1 atm
325;0.02;0.085;0.3;0.595;0;0;;E;x_H2O;Gao 2012, CO2 methanation stoichiometric, 1 atm
350;0.03;0.12;0.29;0.575;0;0;;F;x_CO2;Gao 2012, CO2 methanation stoichiometric, 1 atm
375;0.04;0.15;0.275;0.55;0;0;;G;x_C;Gao 2012, CO2 methanation stoichiometric, 1 atm
400;0.04;0.18;0.26;0.52;0.005;0;;;;
425;0.05;0.22;0.245;0.485;0.0025;0;;Source;Gao 2012 (calculated, https://doi.org/10.1039/c2ra00632d);
450;0.07;0.265;0.225;0.45;0.01;0;;;;
475;0.07;0.31;0.205;0.42;0.015;0;;;;
500;0.08;0.35;0.18;0.38;0.02;0;;;;
525;0.08;0.4;0.16;0.34;0.025;0;;;;
550;0.085;0.445;0.14;0.31;0.035;0;;;;
575;0.08;0.49;0.12;0.275;0.05;0;;;;
600;0.08;0.53;0.085;0.24;0.07;0;;;;
625;0.075;0.56;0.065;0.22;0.085;0;;;;
650;0.07;0.585;0.05;0.19;0.115;0;;;;
675;0.065;0.62;0.03;0.18;0.125;0;;;;
700;0.06;0.625;0.02;0.17;0.135;0;;;;
725;0.05;0.635;0.015;0.17;0.145;0;;;;
750;0.05;0.64;0.01;0.165;0.15;0;;;;
775;0.05;0.64;0.005;0.165;0.155;0;;;;
800;0.04;0.64;0;0.16;0.16;0;;;;
